sdm,target,layer,r2_test
sdm-mpm,sdm-xlsr-fairseq,4,-0.2989359200000763
sdm-mpm,sdm-xlsr-fairseq,5,-0.3566986620426178
sdm-mpm,sdm-xlsr-fairseq,6,-0.3070131242275238
sdm-mpm,sdm-xlsr-fairseq,7,-0.23564831912517548
sdm-mpm,sdm-xlsr-fairseq,8,-0.18911369144916534
sdm-mpm,sdm-xlsr-fairseq,9,-0.1666196882724762
sdm-mpm,sdm-xlsr-fairseq,10,-0.12070202827453613
sdm-mpm,sdm-xlsr-fairseq,11,-0.08419144153594971
sdm-mpm,sdm-xlsr-fairseq,12,-0.10675233602523804
sdm-mpm,sdm-xlsr-fairseq,13,-0.07069631665945053
sdm-mpm,sdm-xlsr-fairseq,14,-0.09689304232597351
sdm-mpm,sdm-xlsr-fairseq,15,-0.0980929508805275
sdm-mpm,sdm-xlsr-fairseq,16,-0.1252104789018631
sdm-mpm,sdm-xlsr-fairseq,17,-0.14603857696056366
sdm-mpm,sdm-xlsr-fairseq,18,-0.21600204706192017
sdm-mpm,sdm-xlsr-fairseq,19,-0.29750490188598633
sdm-mpm,sdm-xlsr-fairseq,20,-0.34868934750556946
sdm-mpm,sdm-xlsr-fairseq,21,-0.42221662402153015
sdm-mpm,sdm-xlsr-fairseq,22,-0.5389640927314758
sdm-mpm,sdm-xlsr-fairseq,23,-0.6775843501091003
sdm-mpm,sdm-xlsr-fairseq,24,0.216730535030365
sdm-mpm,sdm-dvector,0,0.44374799728393555
sdm-mpm,sdm-dvector,1,0.416631281375885
sdm-mpm,sdm-dvector,2,0.39675143361091614
